symptom1,symptom2,symptom3,disease_name,chronic_or_temporary,contagious
swelling,dryness,soreness,Dermatitis,temporary,false
rash,scaling,pain,Acne,temporary,true
redness,scaling,pain,Acne,temporary,true
itching,flaking,tenderness,Psoriasis,chronic,false
rash,cracking,burning,Rosacea,temporary,false
redness,cracking,pain,Psoriasis,chronic,false
itching,flaking,soreness,Rosacea,chronic,false
itching,cracking,tenderness,Rosacea,temporary,true
swelling,cracking,tenderness,Rosacea,chronic,false
redness,dryness,burning,Acne,chronic,true
swelling,dryness,burning,Dermatitis,temporary,true
itching,flaking,burning,Rosacea,chronic,true
redness,cracking,burning,Acne,chronic,false
itching,scaling,pain,Acne,chronic,false
blistering,cracking,tenderness,Acne,temporary,false
itching,dryness,pain,Dermatitis,temporary,false
blistering,scaling,tenderness,Eczema,chronic,true
blistering,flaking,pain,Dermatitis,temporary,true
itching,scaling,burning,Eczema,chronic,false
rash,dryness,soreness,Acne,temporary,false
swelling,cracking,soreness,Dermatitis,chronic,true
itching,flaking,tenderness,Rosacea,chronic,true
blistering,scaling,tenderness,Rosacea,temporary,false
swelling,scaling,soreness,Rosacea,temporary,true
rash,dryness,pain,Eczema,temporary,true
rash,flaking,tenderness,Psoriasis,temporary,false
redness,scaling,pain,Psoriasis,chronic,false
itching,scaling,soreness,Rosacea,chronic,false
blistering,flaking,tenderness,Dermatitis,temporary,false
rash,dryness,soreness,Acne,temporary,true
itching,dryness,soreness,Acne,chronic,false
swelling,cracking,soreness,Acne,temporary,false
rash,scaling,tenderness,Rosacea,temporary,false
redness,dryness,tenderness,Eczema,temporary,false
rash,flaking,soreness,Dermatitis,chronic,false
redness,flaking,burning,Eczema,chronic,true
redness,scaling,pain,Dermatitis,chronic,false
itching,scaling,burning,Dermatitis,chronic,true
rash,dryness,soreness,Psoriasis,chronic,true
swelling,scaling,burning,Eczema,temporary,false
rash,scaling,soreness,Eczema,temporary,true
itching,cracking,soreness,Rosacea,temporary,false
redness,scaling,soreness,Psoriasis,temporary,false
rash,flaking,pain,Acne,temporary,false
redness,flaking,tenderness,Eczema,chronic,true
itching,cracking,burning,Rosacea,temporary,true
itching,dryness,tenderness,Psoriasis,temporary,true
redness,flaking,burning,Psoriasis,chronic,false
itching,cracking,tenderness,Psoriasis,temporary,true
itching,dryness,pain,Acne,temporary,false
swelling,scaling,pain,Acne,chronic,true
rash,cracking,soreness,Dermatitis,temporary,true
redness,scaling,burning,Dermatitis,temporary,true
itching,scaling,tenderness,Rosacea,temporary,false
itching,flaking,burning,Dermatitis,chronic,true
rash,dryness,tenderness,Acne,chronic,false
rash,dryness,soreness,Eczema,chronic,true
rash,dryness,tenderness,Rosacea,temporary,true
blistering,dryness,tenderness,Eczema,chronic,false
blistering,scaling,pain,Rosacea,temporary,false
itching,dryness,burning,Dermatitis,chronic,false
redness,dryness,pain,Psoriasis,temporary,false
rash,flaking,pain,Psoriasis,chronic,true
redness,scaling,burning,Dermatitis,temporary,true
rash,scaling,soreness,Eczema,chronic,false
itching,dryness,soreness,Rosacea,chronic,true
rash,cracking,soreness,Dermatitis,temporary,true
swelling,cracking,pain,Eczema,temporary,false
rash,flaking,pain,Eczema,temporary,false
rash,scaling,soreness,Dermatitis,chronic,false
swelling,dryness,pain,Rosacea,temporary,false
rash,dryness,burning,Dermatitis,temporary,false
rash,cracking,pain,Rosacea,temporary,false
swelling,scaling,tenderness,Dermatitis,chronic,true
itching,flaking,pain,Dermatitis,chronic,false
itching,cracking,tenderness,Rosacea,chronic,true
rash,scaling,soreness,Psoriasis,temporary,false
rash,scaling,pain,Acne,temporary,true
swelling,flaking,burning,Rosacea,temporary,true
itching,cracking,burning,Dermatitis,temporary,false
swelling,flaking,burning,Eczema,chronic,false
rash,scaling,soreness,Eczema,temporary,true
rash,cracking,burning,Rosacea,temporary,true
rash,scaling,pain,Acne,chronic,true
swelling,scaling,pain,Acne,chronic,true
itching,dryness,soreness,Psoriasis,chronic,true
blistering,scaling,pain,Acne,temporary,true
redness,cracking,pain,Rosacea,temporary,true
itching,cracking,soreness,Eczema,temporary,true
redness,flaking,soreness,Dermatitis,chronic,false
rash,cracking,pain,Psoriasis,temporary,false
swelling,dryness,burning,Psoriasis,chronic,true
itching,flaking,soreness,Psoriasis,chronic,true
itching,flaking,tenderness,Dermatitis,chronic,true
itching,flaking,tenderness,Acne,chronic,false
blistering,dryness,pain,Acne,temporary,true
itching,dryness,burning,Eczema,temporary,false
rash,flaking,tenderness,Eczema,temporary,true
swelling,dryness,burning,Dermatitis,temporary,false
blistering,flaking,pain,Acne,temporary,false
rash,flaking,burning,Rosacea,temporary,false
swelling,cracking,tenderness,Acne,temporary,true
itching,dryness,pain,Dermatitis,temporary,false
blistering,cracking,tenderness,Rosacea,temporary,true
rash,scaling,pain,Acne,chronic,false
rash,dryness,pain,Acne,chronic,true
swelling,flaking,soreness,Dermatitis,chronic,false
blistering,flaking,burning,Rosacea,chronic,true
rash,dryness,pain,Acne,chronic,false
redness,scaling,burning,Dermatitis,temporary,true
redness,dryness,tenderness,Dermatitis,temporary,false
rash,dryness,tenderness,Rosacea,chronic,false
itching,dryness,tenderness,Rosacea,chronic,false
rash,flaking,tenderness,Eczema,chronic,true
rash,dryness,burning,Dermatitis,chronic,false
rash,scaling,pain,Psoriasis,chronic,true
rash,scaling,soreness,Rosacea,temporary,false
redness,scaling,soreness,Dermatitis,temporary,false
itching,cracking,tenderness,Dermatitis,chronic,false
itching,flaking,soreness,Dermatitis,temporary,true
swelling,dryness,pain,Eczema,chronic,true
rash,cracking,burning,Acne,chronic,false
rash,dryness,burning,Acne,chronic,false
itching,cracking,tenderness,Acne,temporary,true
blistering,cracking,burning,Rosacea,chronic,true
blistering,flaking,soreness,Psoriasis,temporary,true
rash,cracking,soreness,Dermatitis,temporary,false
redness,dryness,tenderness,Dermatitis,temporary,true
redness,cracking,burning,Psoriasis,chronic,true
swelling,cracking,soreness,Psoriasis,temporary,true
blistering,dryness,soreness,Dermatitis,chronic,false
blistering,cracking,pain,Rosacea,temporary,true
redness,scaling,tenderness,Rosacea,chronic,true
swelling,flaking,soreness,Eczema,chronic,false
blistering,flaking,soreness,Psoriasis,temporary,true
blistering,dryness,burning,Dermatitis,temporary,false
rash,dryness,burning,Acne,chronic,true
blistering,scaling,soreness,Acne,chronic,true
rash,scaling,tenderness,Dermatitis,temporary,true
blistering,scaling,pain,Rosacea,temporary,false
blistering,dryness,pain,Eczema,chronic,true
blistering,scaling,burning,Rosacea,chronic,true
blistering,scaling,tenderness,Rosacea,chronic,false
itching,dryness,pain,Rosacea,temporary,false
itching,scaling,soreness,Acne,chronic,true
rash,flaking,burning,Acne,temporary,false
redness,scaling,soreness,Eczema,chronic,false
blistering,flaking,tenderness,Rosacea,chronic,false
rash,cracking,pain,Dermatitis,temporary,false
itching,cracking,pain,Psoriasis,chronic,false
redness,flaking,tenderness,Dermatitis,chronic,false
redness,scaling,pain,Psoriasis,temporary,true
swelling,cracking,soreness,Dermatitis,chronic,true
swelling,cracking,burning,Psoriasis,temporary,true
itching,cracking,soreness,Psoriasis,chronic,false
swelling,cracking,soreness,Eczema,chronic,true
itching,dryness,burning,Dermatitis,temporary,false
swelling,dryness,tenderness,Dermatitis,temporary,true
redness,dryness,pain,Acne,temporary,false
redness,scaling,burning,Acne,chronic,false
blistering,flaking,burning,Psoriasis,temporary,false
swelling,flaking,burning,Eczema,chronic,false
rash,flaking,tenderness,Rosacea,temporary,true
blistering,flaking,burning,Psoriasis,temporary,true
rash,flaking,pain,Dermatitis,temporary,true
swelling,scaling,pain,Psoriasis,temporary,false
itching,flaking,pain,Dermatitis,chronic,false
blistering,flaking,soreness,Psoriasis,chronic,false
rash,flaking,tenderness,Dermatitis,chronic,true
blistering,cracking,pain,Psoriasis,chronic,false
rash,flaking,soreness,Dermatitis,chronic,true
rash,flaking,burning,Dermatitis,chronic,false
redness,cracking,pain,Acne,chronic,false
redness,flaking,pain,Psoriasis,temporary,true
rash,cracking,soreness,Psoriasis,temporary,false
rash,cracking,pain,Rosacea,chronic,false
itching,flaking,tenderness,Psoriasis,temporary,true
redness,flaking,tenderness,Acne,chronic,true
blistering,cracking,pain,Acne,chronic,false
rash,cracking,tenderness,Psoriasis,chronic,true
redness,cracking,tenderness,Eczema,chronic,false
swelling,flaking,tenderness,Rosacea,temporary,false
redness,scaling,pain,Dermatitis,chronic,true
rash,flaking,soreness,Acne,temporary,true
rash,cracking,tenderness,Acne,temporary,false
rash,flaking,soreness,Eczema,chronic,false
rash,dryness,burning,Rosacea,chronic,true
blistering,dryness,burning,Acne,chronic,false
itching,scaling,pain,Rosacea,chronic,true
swelling,scaling,burning,Rosacea,temporary,true
rash,cracking,burning,Rosacea,chronic,false
rash,cracking,pain,Acne,temporary,true
blistering,scaling,pain,Acne,chronic,false
swelling,flaking,tenderness,Dermatitis,chronic,true
blistering,cracking,soreness,Acne,chronic,true
swelling,cracking,soreness,Psoriasis,temporary,false
blistering,dryness,burning,Eczema,temporary,false
redness,scaling,burning,Rosacea,chronic,true
rash,scaling,tenderness,Rosacea,chronic,true
itching,scaling,soreness,Rosacea,chronic,false
rash,cracking,tenderness,Acne,temporary,true
redness,cracking,pain,Acne,temporary,false
itching,dryness,burning,Rosacea,chronic,false
redness,scaling,burning,Dermatitis,chronic,false
swelling,scaling,tenderness,Psoriasis,chronic,true
rash,scaling,pain,Dermatitis,temporary,true
itching,flaking,burning,Psoriasis,chronic,true
itching,flaking,soreness,Psoriasis,temporary,false
redness,cracking,tenderness,Eczema,temporary,true
blistering,flaking,pain,Rosacea,temporary,true
itching,scaling,tenderness,Dermatitis,temporary,false
swelling,flaking,pain,Psoriasis,chronic,true
itching,dryness,soreness,Eczema,temporary,true
redness,cracking,burning,Acne,temporary,true
blistering,flaking,pain,Psoriasis,chronic,false
rash,cracking,burning,Rosacea,temporary,false
redness,cracking,pain,Eczema,chronic,true
itching,cracking,soreness,Eczema,chronic,false
redness,cracking,burning,Rosacea,chronic,true
swelling,scaling,burning,Rosacea,chronic,false
swelling,cracking,burning,Eczema,chronic,true
itching,scaling,soreness,Eczema,chronic,false
blistering,scaling,tenderness,Acne,temporary,false
swelling,scaling,burning,Psoriasis,chronic,true
swelling,flaking,pain,Psoriasis,chronic,true
itching,scaling,soreness,Rosacea,chronic,false
redness,cracking,tenderness,Dermatitis,temporary,true
redness,scaling,pain,Psoriasis,chronic,false
itching,dryness,soreness,Eczema,chronic,false
rash,cracking,soreness,Dermatitis,temporary,true
swelling,flaking,burning,Dermatitis,chronic,false
swelling,flaking,pain,Dermatitis,temporary,false
swelling,flaking,tenderness,Rosacea,temporary,false
itching,cracking,burning,Psoriasis,temporary,false
blistering,flaking,soreness,Eczema,chronic,true
redness,scaling,burning,Acne,chronic,true
redness,dryness,soreness,Psoriasis,chronic,true
rash,dryness,tenderness,Rosacea,chronic,true
redness,scaling,pain,Eczema,chronic,false
itching,dryness,soreness,Psoriasis,chronic,true
rash,cracking,burning,Rosacea,chronic,false
itching,cracking,soreness,Psoriasis,chronic,true
redness,scaling,tenderness,Eczema,temporary,true
rash,dryness,pain,Dermatitis,chronic,false
swelling,cracking,burning,Dermatitis,temporary,false
itching,cracking,burning,Acne,chronic,true
rash,flaking,tenderness,Psoriasis,chronic,false
redness,dryness,soreness,Dermatitis,chronic,true
swelling,scaling,tenderness,Psoriasis,chronic,true
rash,cracking,soreness,Acne,chronic,false
swelling,scaling,burning,Eczema,temporary,false
rash,dryness,burning,Eczema,temporary,false
blistering,cracking,pain,Acne,chronic,true
swelling,dryness,soreness,Dermatitis,chronic,false
redness,dryness,soreness,Acne,chronic,true
redness,dryness,burning,Rosacea,temporary,true
itching,cracking,tenderness,Acne,temporary,true
rash,dryness,tenderness,Rosacea,chronic,true
itching,dryness,tenderness,Rosacea,chronic,false
rash,flaking,tenderness,Acne,temporary,false
blistering,scaling,burning,Rosacea,chronic,false
itching,flaking,tenderness,Acne,chronic,true
rash,flaking,burning,Dermatitis,temporary,true
blistering,cracking,tenderness,Rosacea,chronic,false
rash,dryness,soreness,Eczema,temporary,true
blistering,cracking,tenderness,Acne,temporary,true
rash,flaking,pain,Rosacea,temporary,true
rash,flaking,burning,Rosacea,temporary,true
blistering,cracking,pain,Dermatitis,chronic,false
rash,cracking,tenderness,Eczema,temporary,false
redness,dryness,soreness,Rosacea,chronic,true
redness,cracking,burning,Eczema,chronic,false
blistering,flaking,tenderness,Psoriasis,chronic,false
swelling,scaling,tenderness,Dermatitis,temporary,false
redness,dryness,burning,Acne,chronic,false
itching,scaling,pain,Psoriasis,chronic,true
itching,scaling,pain,Dermatitis,chronic,true
swelling,cracking,pain,Acne,chronic,true
blistering,dryness,tenderness,Acne,chronic,true
swelling,cracking,pain,Rosacea,temporary,true
swelling,flaking,burning,Rosacea,temporary,false
rash,cracking,pain,Dermatitis,temporary,true
swelling,scaling,burning,Eczema,temporary,false
redness,flaking,burning,Psoriasis,chronic,false
rash,flaking,soreness,Acne,temporary,false
blistering,scaling,pain,Eczema,chronic,true
swelling,cracking,pain,Psoriasis,temporary,false
rash,cracking,tenderness,Rosacea,chronic,false
blistering,dryness,burning,Eczema,temporary,true
itching,scaling,burning,Eczema,chronic,false
swelling,dryness,burning,Rosacea,temporary,true
swelling,scaling,tenderness,Acne,chronic,true
itching,scaling,pain,Psoriasis,chronic,true
swelling,cracking,tenderness,Psoriasis,temporary,true
blistering,flaking,soreness,Eczema,temporary,true
blistering,cracking,tenderness,Psoriasis,temporary,true
redness,cracking,burning,Acne,chronic,true
redness,scaling,burning,Eczema,chronic,true
blistering,dryness,pain,Acne,chronic,true
itching,dryness,soreness,Dermatitis,chronic,false
rash,flaking,tenderness,Rosacea,chronic,true
blistering,scaling,pain,Acne,chronic,true
blistering,dryness,soreness,Psoriasis,temporary,true
itching,dryness,burning,Psoriasis,chronic,true
swelling,dryness,pain,Eczema,temporary,true
blistering,flaking,burning,Rosacea,temporary,false
rash,flaking,pain,Eczema,chronic,true
swelling,dryness,soreness,Eczema,chronic,false
rash,dryness,burning,Acne,chronic,true
redness,dryness,burning,Rosacea,temporary,true
itching,scaling,burning,Psoriasis,chronic,true
rash,flaking,burning,Dermatitis,chronic,true
swelling,scaling,tenderness,Psoriasis,chronic,false
swelling,cracking,tenderness,Dermatitis,temporary,false
swelling,dryness,pain,Rosacea,temporary,false
blistering,dryness,soreness,Acne,chronic,true
blistering,dryness,tenderness,Rosacea,temporary,false
rash,cracking,soreness,Acne,temporary,true
itching,dryness,burning,Acne,temporary,false
rash,cracking,burning,Dermatitis,chronic,false
blistering,cracking,burning,Psoriasis,chronic,true
rash,cracking,soreness,Rosacea,chronic,false
blistering,flaking,soreness,Rosacea,temporary,true
itching,flaking,tenderness,Psoriasis,chronic,true
redness,scaling,burning,Rosacea,chronic,true
swelling,flaking,tenderness,Acne,chronic,false
swelling,dryness,soreness,Rosacea,temporary,true
swelling,flaking,tenderness,Acne,temporary,false
blistering,flaking,pain,Acne,temporary,true
redness,flaking,pain,Acne,chronic,false
blistering,flaking,soreness,Eczema,chronic,false
blistering,scaling,soreness,Acne,chronic,true
swelling,flaking,tenderness,Psoriasis,chronic,true
blistering,scaling,soreness,Eczema,temporary,true
redness,dryness,tenderness,Eczema,chronic,true
rash,cracking,pain,Dermatitis,temporary,false
itching,cracking,soreness,Dermatitis,chronic,false
itching,dryness,tenderness,Acne,temporary,false
itching,flaking,burning,Acne,temporary,false
rash,dryness,burning,Psoriasis,chronic,true
redness,flaking,tenderness,Dermatitis,temporary,false
itching,dryness,soreness,Acne,temporary,false
blistering,cracking,tenderness,Rosacea,chronic,false
swelling,scaling,soreness,Rosacea,chronic,false
redness,cracking,pain,Rosacea,temporary,true
swelling,cracking,tenderness,Rosacea,temporary,true
blistering,scaling,soreness,Eczema,temporary,true
swelling,flaking,pain,Acne,chronic,true
redness,flaking,burning,Rosacea,chronic,false
blistering,dryness,pain,Psoriasis,temporary,false
blistering,cracking,soreness,Psoriasis,chronic,true
redness,dryness,pain,Rosacea,temporary,true
swelling,dryness,soreness,Psoriasis,chronic,true
redness,dryness,burning,Dermatitis,chronic,false
redness,flaking,burning,Eczema,chronic,false
rash,cracking,soreness,Eczema,temporary,true
redness,scaling,burning,Psoriasis,temporary,false
redness,flaking,soreness,Dermatitis,chronic,false
itching,scaling,tenderness,Dermatitis,chronic,false
redness,cracking,burning,Psoriasis,temporary,true
blistering,flaking,soreness,Dermatitis,chronic,false
swelling,flaking,tenderness,Eczema,temporary,true
blistering,dryness,pain,Eczema,temporary,true
blistering,dryness,burning,Psoriasis,chronic,false
swelling,flaking,tenderness,Eczema,chronic,true
rash,dryness,soreness,Dermatitis,chronic,true
swelling,dryness,soreness,Dermatitis,chronic,false
rash,scaling,pain,Rosacea,temporary,true
itching,dryness,burning,Dermatitis,chronic,true
swelling,cracking,pain,Acne,temporary,true
redness,flaking,tenderness,Psoriasis,temporary,true
rash,scaling,burning,Acne,temporary,true
rash,flaking,pain,Acne,temporary,true
swelling,scaling,burning,Eczema,chronic,true
redness,scaling,soreness,Rosacea,temporary,true
swelling,scaling,burning,Acne,chronic,false
redness,flaking,pain,Dermatitis,temporary,false
swelling,dryness,tenderness,Dermatitis,chronic,false
blistering,scaling,pain,Psoriasis,chronic,false
swelling,dryness,burning,Eczema,temporary,false
swelling,cracking,tenderness,Dermatitis,temporary,true
swelling,cracking,tenderness,Acne,temporary,true
swelling,dryness,soreness,Psoriasis,chronic,false
redness,flaking,tenderness,Acne,temporary,false
rash,dryness,pain,Acne,chronic,false
blistering,dryness,burning,Acne,temporary,false
redness,scaling,burning,Eczema,chronic,false
blistering,scaling,tenderness,Dermatitis,chronic,true
rash,dryness,pain,Acne,temporary,true
rash,dryness,burning,Acne,temporary,true
itching,flaking,pain,Eczema,temporary,true
blistering,cracking,pain,Rosacea,temporary,false
redness,dryness,soreness,Acne,temporary,true
redness,dryness,soreness,Dermatitis,chronic,false
itching,dryness,tenderness,Psoriasis,chronic,false
itching,flaking,pain,Dermatitis,temporary,false
